iter	Passed	Remaining
0	3	334
1	8	409
2	11	386
3	14	340
4	16	313
5	19	300
6	24	327
7	26	309
8	29	298
9	31	287
10	34	279
11	38	283
12	41	275
13	43	269
14	46	264
15	49	259
16	51	253
17	54	250
18	57	245
19	59	239
20	62	233
21	63	226
22	66	221
23	70	224
24	73	220
25	75	216
26	78	212
27	80	208
28	84	207
29	87	203
30	89	199
31	92	195
32	94	192
33	99	192
34	101	189
35	104	186
36	107	183
37	111	181
38	115	180
39	117	175
40	119	171
41	120	166
42	122	162
43	126	160
44	129	158
45	132	155
46	135	152
47	137	149
48	142	148
49	144	144
50	146	140
51	149	137
52	152	134
53	153	131
54	155	127
55	159	125
56	161	121
57	163	118
58	166	115
59	169	113
60	173	110
61	176	107
62	178	104
63	180	101
64	184	99
65	188	97
66	191	94
67	193	91
68	195	88
69	198	84
70	202	82
71	205	79
72	207	76
73	209	73
74	212	70
75	214	67
76	217	65
77	220	62
78	222	59
79	225	56
80	228	53
81	231	50
82	234	47
83	236	45
84	239	42
85	241	39
86	244	36
87	247	33
88	250	30
89	252	28
90	255	25
91	257	22
92	261	19
93	264	16
94	266	14
95	267	11
96	269	8
97	272	5
98	273	2
99	277	0
