iter	Passed	Remaining
0	1	1900
1	3	1624
2	4	1551
3	6	1549
4	7	1541
5	9	1539
6	10	1505
7	11	1473
8	13	1456
9	14	1445
10	15	1394
11	16	1344
12	17	1295
13	17	1252
14	18	1224
15	19	1189
16	20	1161
17	20	1129
18	21	1112
19	22	1097
20	23	1088
21	24	1079
22	25	1063
23	25	1050
24	26	1034
25	27	1019
26	28	1011
27	29	1011
28	29	1000
29	30	988
30	31	981
31	32	972
32	33	967
33	33	963
34	34	962
35	35	960
36	36	952
37	37	947
38	38	939
39	38	929
40	39	921
41	40	917
42	40	912
43	41	905
44	42	902
45	43	904
46	44	901
47	45	899
48	46	895
49	46	892
50	47	887
51	48	880
52	49	877
53	49	873
54	50	868
55	51	865
56	52	861
57	52	856
58	53	851
59	54	846
60	54	840
61	55	835
62	55	831
63	56	826
64	57	821
65	57	816
66	58	815
67	59	817
68	60	815
69	61	811
70	61	809
71	62	806
72	63	803
73	64	800
74	64	797
75	65	793
76	65	789
77	66	785
78	67	782
79	67	778
80	68	775
81	68	771
82	69	765
83	69	762
84	70	758
85	71	755
86	71	753
87	72	751
88	73	751
89	74	754
90	75	752
91	76	752
92	76	750
93	77	748
94	78	745
95	78	742
96	79	739
97	80	736
98	80	734
99	81	731
100	81	729
101	82	727
102	83	724
103	83	722
104	84	719
105	85	717
106	85	715
107	86	713
108	87	712
109	88	713
110	89	714
111	89	713
112	90	712
113	91	711
114	92	709
115	92	708
116	93	705
117	94	703
118	94	701
119	95	698
120	95	696
121	96	694
122	97	692
123	97	689
124	98	688
125	98	686
126	99	683
127	100	682
128	100	680
129	101	678
130	101	676
131	102	675
132	103	676
133	104	676
134	105	674
135	105	672
136	106	672
137	107	670
138	108	669
139	108	668
140	109	666
141	109	663
142	110	662
143	111	660
144	111	658
145	112	657
146	112	655
147	113	653
148	114	652
149	114	650
150	115	648
151	116	647
152	116	645
153	117	644
154	117	643
155	119	644
156	119	644
157	120	642
158	121	642
159	122	641
160	122	638
161	123	637
162	123	636
163	124	634
164	125	633
165	125	632
166	126	630
167	127	629
168	127	628
169	128	626
170	128	625
171	129	624
172	130	622
173	130	621
174	131	619
175	132	618
176	132	617
177	133	617
178	134	616
179	135	615
180	135	614
181	136	613
182	136	611
183	137	610
184	138	609
185	139	608
186	139	607
187	140	605
188	140	605
189	141	603
190	142	602
191	142	601
192	143	600
193	144	599
194	144	598
195	145	596
196	146	595
197	146	594
198	147	593
199	149	597
200	150	597
201	150	596
202	151	595
203	152	594
204	152	592
205	153	591
206	154	590
207	154	589
208	155	588
209	156	587
210	156	586
211	157	585
212	158	584
213	158	583
214	159	582
215	160	580
216	160	579
217	161	578
218	162	577
219	162	576
220	163	576
221	164	577
222	165	576
223	166	575
224	166	574
225	167	573
226	168	572
227	168	571
228	169	570
229	170	569
230	170	568
231	171	567
232	171	565
233	172	564
234	173	564
235	173	563
236	174	561
237	175	560
238	175	559
239	176	558
240	177	558
241	177	557
242	178	557
243	179	557
244	180	556
245	181	555
246	181	554
247	182	553
248	183	552
249	183	551
250	184	550
251	185	549
252	185	548
253	186	547
254	186	546
255	187	544
256	188	543
257	188	542
258	189	541
259	189	540
260	190	539
261	191	538
262	191	537
263	192	536
264	192	535
265	193	535
266	194	535
267	195	534
268	196	533
269	196	532
270	197	531
271	198	530
272	199	530
273	199	528
274	200	527
275	200	527
276	201	525
277	202	525
278	202	524
279	203	523
280	204	522
281	204	521
282	205	520
283	205	519
284	206	518
285	207	517
286	207	516
287	208	515
288	209	514
289	210	514
290	210	513
291	211	512
292	212	511
293	212	510
294	213	509
295	213	508
296	214	508
297	215	507
298	215	506
299	216	505
300	217	504
301	218	503
302	218	503
303	219	502
304	220	501
305	221	501
306	221	500
307	222	499
308	223	498
309	224	498
310	225	498
311	225	497
312	226	496
313	226	495
314	227	494
315	228	494
316	228	493
317	229	492
318	230	491
319	231	490
320	231	490
321	232	489
322	232	488
323	233	487
324	234	486
325	234	485
326	235	485
327	236	485
328	237	484
329	238	484
330	239	483
331	240	483
332	240	482
333	241	481
334	242	481
335	242	480
336	243	479
337	244	478
338	244	477
339	245	476
340	246	475
341	246	475
342	247	474
343	248	473
344	249	473
345	249	472
346	250	471
347	251	470
348	251	469
349	252	468
350	252	467
351	253	466
352	254	465
353	255	465
354	255	464
355	256	463
356	257	462
357	257	462
358	258	461
359	258	460
360	259	459
361	260	458
362	260	457
363	261	456
364	261	455
365	262	455
366	263	454
367	264	453
368	264	452
369	265	451
370	266	451
371	266	450
372	267	449
373	268	448
374	269	448
375	270	448
376	271	448
377	272	447
378	272	447
379	273	446
380	274	445
381	274	444
382	275	443
383	276	443
384	276	442
385	277	441
386	278	440
387	278	439
388	279	439
389	280	438
390	280	437
391	281	436
392	282	435
393	282	434
394	283	433
395	283	432
396	284	432
397	285	431
398	286	431
399	287	430
400	287	429
401	288	428
402	288	427
403	289	427
404	290	426
405	290	425
406	291	424
407	292	423
408	292	423
409	293	422
410	294	421
411	294	420
412	295	420
413	296	419
414	297	418
415	297	417
416	298	416
417	298	416
418	299	415
419	300	415
420	301	414
421	302	413
422	302	412
423	303	412
424	304	411
425	304	410
426	305	409
427	306	409
428	306	408
429	307	407
430	308	407
431	309	406
432	309	405
433	310	404
434	311	404
435	311	403
436	312	402
437	313	401
438	313	401
439	314	400
440	315	400
441	316	399
442	317	398
443	317	398
444	318	397
445	319	396
446	319	395
447	320	394
448	320	393
449	321	393
450	322	392
451	322	391
452	323	390
453	323	389
454	324	388
455	325	387
456	325	387
457	326	386
458	327	385
459	327	384
460	328	383
461	328	383
462	329	382
463	330	382
464	331	381
465	332	380
466	332	379
467	333	379
468	334	378
469	335	377
470	335	377
471	336	376
472	337	375
473	337	374
474	338	374
475	339	373
476	339	372
477	340	371
478	340	370
479	341	370
480	342	369
481	342	368
482	343	367
483	344	367
484	345	366
485	346	366
486	347	365
487	347	364
488	348	364
489	349	363
490	349	362
491	350	361
492	351	361
493	352	360
494	353	360
495	353	359
496	354	358
497	355	357
498	355	357
499	356	356
500	356	355
501	357	354
502	358	353
503	358	353
504	359	352
505	360	351
506	361	351
507	362	350
508	362	350
509	363	349
510	364	348
511	364	347
512	365	347
513	366	346
514	366	345
515	367	344
516	368	344
517	368	343
518	369	342
519	370	341
520	370	341
521	371	340
522	372	339
523	373	338
524	373	338
525	374	337
526	375	336
527	376	336
528	377	335
529	377	335
530	378	334
531	379	333
532	379	332
533	380	332
534	381	331
535	381	330
536	382	329
537	383	329
538	384	328
539	384	327
540	385	326
541	386	326
542	386	325
543	387	324
544	387	323
545	388	323
546	389	322
547	389	321
548	390	321
549	391	320
550	392	319
551	393	318
552	393	318
553	394	317
554	395	316
555	395	316
556	396	315
557	397	314
558	397	313
559	398	312
560	398	312
561	399	311
562	400	310
563	400	309
564	401	308
565	401	308
566	402	307
567	403	306
568	403	305
569	404	305
570	405	304
571	406	304
572	407	303
573	407	302
574	408	302
575	409	301
576	409	300
577	410	299
578	411	299
579	412	298
580	412	297
581	413	296
582	414	296
583	414	295
584	415	294
585	415	293
586	416	293
587	417	292
588	418	291
589	418	290
590	419	290
591	419	289
592	420	288
593	421	288
594	422	287
595	423	286
596	423	286
597	424	285
598	425	284
599	426	284
600	426	283
601	427	282
602	427	281
603	428	281
604	429	280
605	430	279
606	430	278
607	431	278
608	432	277
609	432	276
610	433	276
611	434	275
612	434	274
613	435	274
614	437	273
615	437	272
616	438	272
617	439	271
618	439	270
619	440	270
620	441	269
621	441	268
622	442	267
623	443	267
624	443	266
625	444	265
626	445	264
627	445	264
628	446	263
629	447	262
630	447	261
631	448	261
632	449	260
633	449	259
634	450	258
635	451	258
636	452	257
637	452	257
638	453	256
639	454	255
640	454	254
641	455	254
642	456	253
643	456	252
644	457	251
645	458	251
646	458	250
647	459	249
648	460	248
649	460	248
650	461	247
651	462	246
652	462	245
653	463	245
654	464	244
655	464	243
656	465	243
657	467	242
658	467	242
659	468	241
660	469	240
661	469	239
662	470	239
663	471	238
664	471	237
665	472	236
666	472	236
667	473	235
668	474	234
669	474	233
670	475	233
671	476	232
672	476	231
673	477	230
674	477	230
675	478	229
676	479	228
677	479	227
678	480	227
679	481	226
680	482	226
681	483	225
682	483	224
683	484	223
684	485	223
685	485	222
686	486	221
687	487	220
688	487	220
689	488	219
690	489	218
691	489	217
692	490	217
